Product,Organic,Unit,Label,COO,Sales Order,Invoice #,Invoice Payment Status,Most Recent Invoice Paid Date,Sale Location,Sales Rep,Reqs. Date,Customer,Lot,Vendor,Source,Received Date,Use By Date,Pack Date,Lot Location,Quantity,Cost per Unit,Price per Unit,Total Cost,Total Sold Lot Expenses,Total Revenue,Total Profit $,Total Profit %,Oficina
Bell Pepper Green Lge,False,25 Lb Box,Fresh,MX,2964917.0,185.0,Paid,2023-11-10,Frutto Foods Texas LLC,Gaston Becerril,10/16/2023,Om Produce,181-BEL-1,"Sweet Seasons, LLC.",PO #181,10/17/2023,,,Frutto Foods Texas LLC,200.0,21.5,24.0,4300.0,0.0,4800.0,500.0,10.42,Texas
Bell Pepper Green Lge,False,25 Lb Box,Fresh,MX,2973669.0,192.0,Paid,2023-11-08,Frutto Foods Texas LLC,Gaston Becerril,10/18/2023,The Produce Exchange Inc,188-BEL-2,"Sweet Seasons, LLC.",PO #188,10/23/2023,,,Frutto Foods Texas LLC,250.0,17.0,17.5,4250.0,0.0,4375.0,125.0,2.86,Texas
Bell Pepper Green Lge,False,25 Lb Box,Fresh,MX,3004575.0,213.0,Paid,2023-11-10,Frutto Foods Texas LLC,Gaston Becerril,10/26/2023,Om Produce,209-BEL-1,"Sweet Seasons, LLC.",PO #209,10/30/2023,,,Frutto Foods Texas LLC,99.0,17.0,19.0,1683.0,0.0,1881.0,198.0,10.53,Texas
Bell Pepper Green Lge,False,25 Lb Box,Fresh,MX,3004697.0,216.0,Paid,2023-12-08,Frutto Foods Texas LLC,Gaston Becerril,10/27/2023,"Segovia's Distributing, Inc.",210-BEL-1,"Sweet Seasons, LLC.",PO #210,10/30/2023,,,Frutto Foods Texas LLC,250.0,17.0,19.0,4250.0,0.0,4750.0,500.0,10.53,Texas
Bell Pepper Green Lge,False,25 Lb Box,Fresh,MX,3041998.0,243.0,Paid,2023-11-23,Frutto Foods Texas LLC,Gaston Becerril,11/07/2023,Om Produce,239-BEL-1,"Sweet Seasons, LLC.",PO #239,11/13/2023,,,Frutto Foods Texas LLC,45.0,17.0,18.95,765.0,0.0,852.75,87.75,10.29,Texas
Bell Pepper Green Lge,False,25 Lb Box,Fresh,MX,3079712.0,270.0,Paid,2023-12-18,Frutto Foods Texas LLC,Gaston Becerril,11/16/2023,"SL Produce, LLC.",BEL-000014,"Sweet Seasons, LLC.",PO #265,11/17/2023,,,Frutto Foods Texas LLC,294.0,15.5,17.5,4557.0,0.0,5145.0,588.0,11.43,Texas
Bell Pepper Green Lge,False,25 Lb Box,Fresh,MX,3097939.0,280.0,Paid,2024-01-03,Frutto Foods Texas LLC,Gaston Becerril,11/21/2023,Om Produce,BEL-000022,"Sweet Seasons, LLC.",PO #273,11/25/2023,,,Frutto Foods Texas LLC,49.0,15.0,16.5,735.0,0.0,808.5,73.5,9.09,Texas
Bell Pepper Green Lge,False,25 Lb Box,Fresh,MX,3302933.0,565.0,Paid,2024-02-27,Frutto Foods Texas LLC,Diego Ipema,01/22/2024,Keith Connell Inc.,407-BEL-1,"SL Produce, LLC.",PO #407,01/29/2024,,,Frutto Foods Texas LLC,168.0,12.0,14.0,2016.0,0.0,2352.0,336.0,14.29,Texas
Bell Pepper Green Lge,False,25 Lb Box,Fresh,MX,4837971.0,2088.0,Paid,2025-03-14,Frutto Foods Texas LLC,Diego Ipema,02/05/2025,"Natural Flavor Produce, LLC",10108-BEL-1,"SL Produce, LLC.",PO #10108,02/13/2025,,,McAllen Vendor,56.0,2.0,6.68,112.0,0.0,374.08,262.08,70.06,Texas
Bell Pepper Green Med,True,1 1/9 Bua Box,Fresh,MX,5176276.0,2373.0,Paid,2025-05-21,Nogales Vendor,Diego Ipema,04/25/2025,"Sunterra Produce Traders East, LLC.",10401-BEL-1,IPR Fresh,PO #10401,04/28/2025,,,Frutto Foods Texas LLC,336.0,10.0,12.95,3360.0,0.0,4351.2,991.2,22.78,Texas
Bell Pepper Green Med,True,1 1/9 Bua Box,Fresh,MX,5184923.0,2380.0,Paid,2025-05-28,Nogales Vendor,Diego Ipema,04/28/2025,"Sunterra Produce Traders East, LLC.",10405-BEL-1,IPR Fresh,PO #10405,04/29/2025,,,Frutto Foods Texas LLC,336.0,10.0,12.95,3360.0,0.0,4351.2,991.2,22.78,Texas
Bell Pepper Green Med,False,20 Lb,Fresh,MX,4271373.0,1034.0,Paid,2024-10-09,Frutto Foods Texas LLC,Diego Ipema,09/16/2024,Om Produce,898-BEL-2,"Sweet Seasons, LLC.",PO #898,09/19/2024,,,Frutto Foods Texas LLC,100.0,11.5,13.0,1150.0,0.0,1300.0,150.0,11.54,Texas
Bell Pepper Green Med,False,20 Lb,Fresh,MX,4329323.0,1060.0,Paid,2024-10-16,Frutto Foods Texas LLC,Diego Ipema,09/30/2024,Om Produce,927-BEL-1,"Sweet Seasons, LLC.",PO #927,10/02/2024,,,Frutto Foods Texas LLC,112.0,14.5,15.5,1624.0,0.0,1736.0,112.0,6.45,Texas
Bell Pepper Green Med,False,20 Lb,Fresh,MX,4364218.0,1085.0,Paid,2024-10-23,Frutto Foods Texas LLC,Diego Ipema,10/08/2024,Om Produce,955-BEL-1,"Sweet Seasons, LLC.",PO #955,10/10/2024,,,Frutto Foods Texas LLC,100.0,18.5,22.0,1850.0,0.0,2200.0,350.0,15.91,Texas
Bell Pepper Green Med,False,25 Lb Box,Fresh,MX,2837246.0,123.0,Paid,2023-10-16,Frutto Foods Texas LLC,Diego Ipema,09/12/2023,"Grow-All Procurement, LLC.",119-BEL-1,"SL Produce, LLC.",PO #119,10/13/2023,,,Frutto Foods Texas LLC,112.0,9.0,10.0,1008.0,0.0,1120.0,112.0,10.0,Texas
Bell Pepper Green Med,False,25 Lb Box,Fresh,MX,2973669.0,192.0,Paid,2023-11-08,Frutto Foods Texas LLC,Gaston Becerril,10/18/2023,The Produce Exchange Inc,188-BEL-1,"Sweet Seasons, LLC.",PO #188,10/23/2023,,,Frutto Foods Texas LLC,312.0,15.5,17.0,4836.0,0.0,5304.0,468.0,8.82,Texas
Bell Pepper Green Med,False,25 Lb Box,Fresh,MX,3025460.0,234.0,Paid,2024-01-02,Frutto Foods Texas LLC,Gaston Becerril,11/01/2023,"Gilmore Produce, Ltd. (A Limited   Partnership)",230-BEL-1,"Mexfresh Produce (A d/b/a of Tom-Ver, LLC.)",PO #230,11/03/2023,,,Frutto Foods Texas LLC,280.0,14.95,16.95,4186.0,0.0,4746.0,560.0,11.8,Texas
Bell Pepper Green Med,False,25 Lb Box,Fresh,MX,3200275.0,324.0,Paid,2024-01-29,Frutto Foods Texas LLC,Diego Ipema,12/21/2023,Keith Connell Inc.,321-BEL-2,"SL Produce, LLC.",PO #321,12/27/2023,,,Frutto Foods Texas LLC,112.0,10.5,12.5,1176.0,0.0,1400.0,224.0,16.0,Texas
Bell Pepper Green Med,False,25 Lb Box,Fresh,MX,3211193.0,330.0,Paid,2024-01-04,Frutto Foods Texas LLC,Diego Ipema,12/26/2023,The Produce Exchange Inc,326-BEL-1,"SL Produce, LLC.",PO #326,12/29/2023,,,Frutto Foods Texas LLC,336.0,10.0,11.0,3360.0,0.0,3696.0,336.0,9.09,Texas
Bell Pepper Green Med,False,25 Lb Box,Fresh,MX,3215156.0,333.0,Paid,2024-01-29,Frutto Foods Texas LLC,Diego Ipema,12/27/2023,Keith Connell Inc.,329-BEL-1,"SL Produce, LLC.",PO #329,01/04/2024,,,Frutto Foods Texas LLC,56.0,10.0,12.0,560.0,0.0,672.0,112.0,16.67,Texas
Bell Pepper Green Med,False,25 Lb Box,Fresh,MX,3254300.0,530.0,Paid,2024-02-13,Frutto Foods Texas LLC,Diego Ipema,01/08/2024,Keith Connell Inc.,368-BEL-2,"SL Produce, LLC.",PO #368,01/18/2024,,,Frutto Foods Texas LLC,112.0,16.0,17.5,1792.0,0.0,1960.0,168.0,8.57,Texas
Bell Pepper Green Med,False,25 Lb Box,Fresh,MX,3306493.0,569.0,Paid,2024-03-06,Frutto Foods Texas LLC,Diego Ipema,01/23/2024,Keith Connell Inc.,411-BEL-1,"SL Produce, LLC.",PO #411,01/29/2024,,,Frutto Foods Texas LLC,56.0,9.5,10.95,532.0,0.0,613.2,81.2,13.24,Texas
